,PC1,PC2,PC3,Group
infectedTHAI,-7.246275137566597,-9.984938102844643,-19.000430336951528,infectedTHAI
infectedTHAI.1,-6.100313285303343,-9.219056675504035,-16.694377644634244,infectedTHAI
infectedTHAI.2,-8.731412714768327,-1.7529957493217314,-12.349730920469716,infectedTHAI
infectedTHAI.3,-8.364879256709528,-1.7775112689341985,-11.339846197159853,infectedTHAI
UNinfectedTHAI,1.7556319646350782,-8.658908076851649,-0.8580146673000857,UNinfectedTHAI
UNinfectedTHAI.1,2.148962104379835,-9.645648848441196,-1.2083501003300294,UNinfectedTHAI
UNinfectedTHAI.2,-6.272381517161112,-7.056580309076998,-12.709587811040155,UNinfectedTHAI
UNinfectedTHAI.3,-6.601395586250064,-7.182815574522067,-13.631318916914383,UNinfectedTHAI
infectedCAM,-7.23298564773549,5.257350799372503,-5.211321732824533,infectedCAM
infectedCAM.1,-7.1964875363106025,5.634293174414986,-5.0931333218356185,infectedCAM
infectedCAM.2,-6.370273512918379,4.198510091611802,-1.2694684287064755,infectedCAM
infectedCAM.3,-6.195827632017656,4.6488567906282645,-1.342710279102167,infectedCAM
UNinfectedCAM,-5.461979543006486,-0.4861349871843074,-8.004685686231154,UNinfectedCAM
UNinfectedCAM.1,-5.6309271056363945,-0.36496274569007464,-7.784278751312941,UNinfectedCAM
UNinfectedCAM.2,-2.88021392705455,-3.248969101095972,-6.893505937950988,UNinfectedCAM
UNinfectedCAM.3,-3.164334125966039,-3.045478594604693,-6.787701509224782,UNinfectedCAM
NonhostCAM,6.528326895983943,-17.08853224896735,-18.334496153315758,NonhostCAM
NonhostCAM.1,6.849596056656526,-17.134925469333545,-18.869789299282854,NonhostCAM
NonhostCAM.2,12.013114711464132,-17.069130990750487,-23.21401889234449,NonhostCAM
NonhostCAM.3,11.381872937223541,-16.894225623258457,-22.65720444384994,NonhostCAM
infectedILO,-7.078354307127985,-7.2025945633014485,-8.952604784457721,infectedILO
infectedILO.1,-5.769163610943595,-6.998607146791349,-8.263816660556456,infectedILO
infectedILO.2,-7.727905396625169,2.645720600772606,-8.528669032508896,infectedILO
infectedILO.3,-7.944633503030586,2.8215272892556276,-8.738357413002205,infectedILO
infectedILO.4,-6.164495246475482,3.0878752225842634,2.969467756569481,infectedILO
infectedILO.5,-6.271060591719019,3.408039789918446,3.154758023737118,infectedILO
infectedILO.6,-4.544040643012326,-3.3796387410341917,4.191270461597293,infectedILO
infectedILO.7,-4.385123276568155,-3.395269334714655,4.212151353947871,infectedILO
infectedILO.8,-4.551143916714834,-4.0888640985536915,6.469114352138688,infectedILO
infectedILO.9,-4.114597480804753,-3.7040435872290765,6.516490048455376,infectedILO
infectedILO.10,-7.526363917388886,8.897958379739316,3.6337610824108926,infectedILO
infectedILO.11,-7.597737306276879,8.842056104332684,3.233110701422006,infectedILO
infectedILO.12,-4.530163414899505,-3.402833703298321,7.028526832431584,infectedILO
infectedILO.13,-4.40847471571435,-3.27627593411313,6.750726070826596,infectedILO
infectedILO.14,-7.118003669421338,4.375637741955112,4.020387468074537,infectedILO
infectedILO.15,-6.660412001149895,4.6114163453652015,4.319185719097637,infectedILO
infectedILO.16,-3.918941389073758,-3.3448144724709805,6.965259520825225,infectedILO
infectedILO.17,-3.605823303336924,-3.430643521630226,7.054424061507478,infectedILO
UNinfectedILO,-6.971859986563696,2.2592987755663367,-8.765255215715815,UNinfectedILO
UNinfectedILO.1,-6.8092303499253335,2.775626576607509,-7.983495345899037,UNinfectedILO
UNinfectedILO.2,-5.917278546583652,-1.5719409747545565,-9.88214322330422,UNinfectedILO
UNinfectedILO.3,-5.7261128776898955,-1.4390690416058622,-9.800402618840199,UNinfectedILO
UNinfectedILO.4,-7.756066903598949,6.145257075530133,-7.215858347045647,UNinfectedILO
UNinfectedILO.5,-8.002007867513045,5.503838215552351,-7.257981838315005,UNinfectedILO
UNinfectedILO.6,-10.479435973771672,17.115648772494943,-10.731858665182287,UNinfectedILO
UNinfectedILO.7,-10.78139446104341,17.372945282471047,-11.5803743392364,UNinfectedILO
UNinfectedILO.8,-4.702658487812949,-3.8830019490690915,4.240103491632216,UNinfectedILO
UNinfectedILO.9,-4.564478934098501,-4.425710818153699,4.723118866450069,UNinfectedILO
UNinfectedILO.10,-5.0388263673943525,-3.935727559879653,5.478466302895611,UNinfectedILO
UNinfectedILO.11,-4.909810870275888,-4.032312459703562,5.686429036542456,UNinfectedILO
UNinfectedILO.12,-8.070924069319549,10.428890646239617,0.8066376448743331,UNinfectedILO
UNinfectedILO.13,-8.221418823086083,9.987547215254851,-0.4843468480940644,UNinfectedILO
UNinfectedILO.14,-4.230131551585069,-0.5101487635603289,4.811230873371889,UNinfectedILO
UNinfectedILO.15,-4.167688618641919,-0.41911990154451184,4.822632355399198,UNinfectedILO
UNinfectedILO.16,-7.336648494838069,7.683187103334271,5.841115498876959,UNinfectedILO
UNinfectedILO.17,-7.705467738047856,8.484702708701086,5.450043748257581,UNinfectedILO
UNinfectedILO.18,-7.958585591700578,8.796807694360059,5.339315055470669,UNinfectedILO
UNinfectedILO.19,-7.697597816924326,8.605760498983802,4.892832084493688,UNinfectedILO
uninfecraffspec-stemleaf,-0.49422131620929716,-9.560607644098935,8.377237518213777,uninfecraffspec-stemleaf
uninfecraffspec-stemleaf.1,-0.4922083855818948,-9.6398321468711,8.71596956808839,uninfecraffspec-stemleaf
uninfecraffspec-stemleaf.2,-0.27940714378807746,-10.0528202259293,10.661549330053026,uninfecraffspec-stemleaf
uninfecraffspec-stemleaf.3,0.27947419546080976,-10.593842892331077,11.726329934576444,uninfecraffspec-stemleaf
nonhostILO,-3.236190315374406,2.944404206404226,22.047850870927935,nonhostILO
nonhostILO.1,-2.6726310438674097,2.8731587143329596,21.322620317593366,nonhostILO
nonhostILO.2,-8.900756323389425,15.768321372044314,0.01329059957140927,nonhostILO
nonhostILO.3,-8.850541734116293,15.381623902212382,0.2401121949577805,nonhostILO
nonhostILO.4,-8.28821950695416,16.752904027050093,2.7885964233492015,nonhostILO
nonhostILO.5,-8.532315928745652,16.252836669204054,2.713097502742789,nonhostILO
nonhostILO.6,-2.898721766743648,-1.0717123080097455,18.540171382819974,nonhostILO
nonhostILO.7,-2.962533971209767,-0.813404811482025,19.24143626491732,nonhostILO
Ampelopsis,0.9546212058241802,1.9062703409460997,5.556971691125474,Ampelopsis
Ampelopsis.1,1.0376499616553123,2.1079691976470096,5.174360540612998,Ampelopsis
Ampelopsis.2,3.027555457405169,-10.937159821242316,8.568555022787583,Ampelopsis
Ampelopsis.3,3.035365791898266,-11.022911987943969,9.099555762583272,Ampelopsis
Ampelopsis.4,44.60305148530345,27.744424310849244,-5.41125406497807,Ampelopsis
Ampelopsis.5,46.92277154227961,29.303347088732185,-5.018588761569428,Ampelopsis
Ampelopsis.6,46.83383938358766,-16.481514061356098,2.5104344985478986,Ampelopsis
Ampelopsis.7,44.90851171739277,-15.352992657489878,2.4730124611504705,Ampelopsis
Ampelopsis.8,8.30043086367472,11.66554684874051,7.209566200842294,Ampelopsis
Ampelopsis.9,8.867335121931095,12.050834511964505,7.001318124449312,Ampelopsis
Ampelopsis.10,9.5368476255317,-19.60205059096189,15.869010910568766,Ampelopsis
Ampelopsis.11,10.534141053151066,-20.358471554578475,16.2151019818516,Ampelopsis
Ampelopsis.12,39.49326602560058,20.463013027149753,-4.6822131028456,Ampelopsis
Ampelopsis.13,36.445490271799706,19.98318841556821,-5.136597801793658,Ampelopsis
Ampelopsis.14,15.08082998421082,-14.562718097023119,6.877050465467329,Ampelopsis
Ampelopsis.15,15.482809628032863,-15.685125790784742,6.134031115021522,Ampelopsis
